year,trial_name,trial_type,plot_width,plot_length,plant_date,harvest_date,location,accession_name,plot_name,cross_year,rep_number,plot_number,check_test,notes,obs_DM_gravity,obs_yield_ha
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,SM3511-6,201326BCEAR_pvar_rep2_SM3511-6_67,2007,2,67,test,TZMRK180001_1-1,17.22938808,6.666666667
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,SM3536-44,201326BCEAR_pvar_rep2_SM3536-44_47,2007,2,47,test,TZMRK180001_1-1,18.75866564,7.083333333
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,AM922-10,201326BCEAR_pvar_rep3_AM922-10_92,2007,3,92,test,TZMRK180001_1-1,17.4774786,8.055555556
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3426-5,201326BCEAR_pvar_rep3_GM3426-5_70,2007,3,70,test,TZMRK180001_1-1,21.17780269,7.777777778
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3518-1,201326BCEAR_pvar_rep3_GM3518-1_84,2007,3,84,test,TZMRK180001_1-1,22.90675171,6.111111111
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3518-18,201326BCEAR_pvar_rep3_GM3518-18_91,2007,3,91,test,TZMRK180001_1-1,17.34629039,4.861111111
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3518-19,201326BCEAR_pvar_rep3_GM3518-19_82,2007,3,82,test,TZMRK180001_1-1,19.00156038,3.888888889
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3518-26,201326BCEAR_pvar_rep3_GM3518-26_99,2007,3,99,test,TZMRK180001_1-1,18.89237288,7.916666667
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3518-5,201326BCEAR_pvar_rep3_GM3518-5_94,2007,3,94,test,TZMRK180001_1-1,18.05361741,5.972222222
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3523-25,201326BCEAR_pvar_rep3_GM3523-25_89,2007,3,89,test,TZMRK180001_1-1,16.38604004,1.805555556
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3530-14,201326BCEAR_pvar_rep3_GM3530-14_79,2007,3,79,test,TZMRK180001_1-1,16.21,11.94444444
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3533-6,201326BCEAR_pvar_rep3_GM3533-6_88,2007,3,88,test,TZMRK180001_1-1,16.68740573,6.25
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3560-34,201326BCEAR_pvar_rep3_GM3560-34_83,2007,3,83,test,TZMRK180001_1-1,16.68620863,3.888888889
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3609-30,201326BCEAR_pvar_rep3_GM3609-30_93,2007,3,93,test,TZMRK180001_1-1,18.42342657,4.444444444
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3609-98,201326BCEAR_pvar_rep3_GM3609-98_81,2007,3,81,test,TZMRK180001_1-1,16.21,1.666666667
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3628-1,201326BCEAR_pvar_rep3_GM3628-1_85,2007,3,85,test,TZMRK180001_1-1,21.58850593,5.555555556
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3633-5,201326BCEAR_pvar_rep3_GM3633-5_86,2007,3,86,test,TZMRK180001_1-1,20.06727305,5
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3647-16,201326BCEAR_pvar_rep3_GM3647-16_98,2007,3,98,test,TZMRK180001_1-1,17.78814881,4.583333333
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3650-15,201326BCEAR_pvar_rep3_GM3650-15_100,2007,3,100,test,TZMRK180001_1-1,16.80107376,3.75
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3650-19,201326BCEAR_pvar_rep3_GM3650-19_102,2007,3,102,test,TZMRK180001_1-1,16.21,4.861111111
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3674-35,201326BCEAR_pvar_rep3_GM3674-35_97,2007,3,97,test,TZMRK180001_1-1,16.21,2.222222222
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3675-20,201326BCEAR_pvar_rep3_GM3675-20_71,2007,3,71,test,TZMRK180001_1-1,16.21,3.75
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3675-38,201326BCEAR_pvar_rep3_GM3675-38_96,2007,3,96,test,TZMRK180001_1-1,16.21,1.666666667
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3676-1,201326BCEAR_pvar_rep3_GM3676-1_87,2007,3,87,test,TZMRK180001_1-1,17.88314677,2.777777778
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3693-2,201326BCEAR_pvar_rep3_GM3693-2_74,2007,3,74,test,TZMRK180001_1-1,16.55061878,6.527777778
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3695-9,201326BCEAR_pvar_rep3_GM3695-9_69,2007,3,69,test,TZMRK180001_1-1,16.21,2.777777778
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3697-7,201326BCEAR_pvar_rep3_GM3697-7_76,2007,3,76,test,TZMRK180001_1-1,18.76478812,5.833333333
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3698-1,201326BCEAR_pvar_rep3_GM3698-1_80,2007,3,80,test,TZMRK180001_1-1,20.21247437,2.777777778
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,SM3511-6,201326BCEAR_pvar_rep3_SM3511-6_101,2007,3,101,test,TZMRK180001_1-1,17.63488047,5.138888889
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,SM3536-44,201326BCEAR_pvar_rep3_SM3536-44_75,2007,3,75,test,TZMRK180001_1-1,17.19298137,7.777777778
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3523-70,201467BCEPR_mala_rep1_GM3523-70_16,2007,1,16,test,TZMRK180001_1-1,20.37659527,7.125
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3523-72,201467BCEPR_mala_rep1_GM3523-72_13,2007,1,13,test,TZMRK180001_1-1,24.69209803,9.25
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3551-46,201467BCEPR_mala_rep1_GM3551-46_24,2007,1,24,test,TZMRK180001_1-1,21.78022774,6.625
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3563-18,201467BCEPR_mala_rep1_GM3563-18_45,2007,1,45,test,TZMRK180001_1-1,17.05857909,0.625
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3587-41,201467BCEPR_mala_rep1_GM3587-41_12,2007,1,12,test,TZMRK180001_1-1,22.72433414,14
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3587-51,201467BCEPR_mala_rep1_GM3587-51_3,2007,1,3,test,TZMRK180001_1-1,20.04124767,0.875
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3593-70,201467BCEPR_mala_rep1_GM3593-70_37,2007,1,37,test,TZMRK180001_1-1,NA,NA
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3609-108,201467BCEPR_mala_rep1_GM3609-108_34,2007,1,34,test,TZMRK180001_1-1,18.59675174,7.25
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3609-113,201467BCEPR_mala_rep1_GM3609-113_41,2007,1,41,test,TZMRK180001_1-1,NA,NA
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3609-122,201467BCEPR_mala_rep1_GM3609-122_29,2007,1,29,test,TZMRK180001_1-1,16.21,3
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3621-18,201467BCEPR_mala_rep1_GM3621-18_21,2007,1,21,test,TZMRK180001_1-1,19.43979592,1.5
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3628-33,201467BCEPR_mala_rep1_GM3628-33_33,2007,1,33,test,TZMRK180001_1-1,NA,NA
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3647-23,201467BCEPR_mala_rep1_GM3647-23_42,2007,1,42,test,TZMRK180001_1-1,16.57256586,1.5
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3649-109,201467BCEPR_mala_rep1_GM3649-109_22,2007,1,22,test,TZMRK180001_1-1,22.93984911,6.25
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3649-68,201467BCEPR_mala_rep1_GM3649-68_39,2007,1,39,test,TZMRK180001_1-1,25.57063274,23.375
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3650-41,201467BCEPR_mala_rep1_GM3650-41_51,2007,1,51,test,TZMRK180001_1-1,16.79832714,1.75
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3650-42,201467BCEPR_mala_rep1_GM3650-42_8,2007,1,8,test,TZMRK180001_1-1,NA,NA
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3650-46,201467BCEPR_mala_rep1_GM3650-46_11,2007,1,11,test,TZMRK180001_1-1,20.25514358,6.25
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3650-49,201467BCEPR_mala_rep1_GM3650-49_19,2007,1,19,test,TZMRK180001_1-1,NA,NA
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3650-51,201467BCEPR_mala_rep1_GM3650-51_14,2007,1,14,test,TZMRK180001_1-1,24.24772329,16.25
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3650-57,201467BCEPR_mala_rep1_GM3650-57_54,2007,1,54,test,TZMRK180001_1-1,NA,NA
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3652-21,201467BCEPR_mala_rep1_GM3652-21_40,2007,1,40,test,TZMRK180001_1-1,20.53323605,10.5
2014,201467BCEPR_mala,EPR,NA,NA,2014-July-29,2015-May-12,Malambo,GM3658-73,201467BCEPR_mala_rep1_GM3658-73_4,2007,1,4,test,TZMRK180001_1-1,NA,NA
