"accession_name","beta_carot_NIRS_ugg_PF"
"GM9458-6",10.468796725
"GM9463-2",13.5035539
"GM9464-1",10.641815425
"GM9497-14",9.5615785
"GM9497-7",8.48562905
"GM9500-2",11.890665075
"GM9506-19",8.11603645
"GM9919-25",12.7948947
"GM9919-26",13.4558101
"GM9919-5",10.841918
"GM9919-6",11.9554272
"GM9927-15",14.884943
"GM9927-20",9.65640495
"GM9927-22",10.2349625
"GM9927-3",14.07586575
"GM9927-7",13.4768362
"GM9951-1",13.0957851
"GM9951-6",13.71638155
"GM9955-1",10.040359
"GM9955-2",10.57803295
"GM9955-8",10.77082445
"GM9958-1",14.7019181
"GM9960-7",15.05849505
"GM9970-1",13.26681755
"GM9975-1",9.99491645
"GM9976-2",11.7001319
"GM9976-3",10.4374695
"GM9979-1",13.6417041
"GM9984-6",9.7263346
"GM9985-2",14.08597325
"GM9994-1",10.34372375
"GM9997-1",14.21481755
"SM3441-150",4.3329914
"SM3442-217",7.88702815
"SM3511-6",7.69088443333333
"SM3536-44",6.50640945625
"SM3607-37",6.16195205
"SM3607-84",8.360820075
"SM3615-1",4.4527948
"SM3615-16",10.0647074666667
"SM3615-19",4.209212
"SM3616-17",5.8577533
"SM3618-1",6.10314055
"SM3622-23",5.292840975
"SM3623-30",6.2348069
"SM3673-29",6.6828456
"SM3674-1",1.7101908
"SM3677-13",11.57449435
"SM3677-47",7.52240918333333
"SM3677-50",13.2199974
"SM3677-72",7.081944
"SM3677-74",5.54215765625
"SM3679-13",6.859454275
"SM3679-21",4.028756
"SM3679-5",3.0682404
"SM3679-8",4.3883164
"SM3680-15",15.3910332
"SM3680-4",9.55904495
"SM3682-12",1.55337095
"SM3682-4",2.64358195
"SM3682-45",8.313027275
"SM3682-57",8.1278435
"SM3682-6",6.66268255
"SM3682-72",5.41922676666667
"SM3682-8",6.02590135
"SM3684-14",5.52012825
"SM3684-2",2.55803685
"SM3684-27",6.22223441666667
"SM3684-7",8.40250336666667
"SM3685-11",6.5234017
"SM3685-13",6.3229785
"SM3685-20",7.9417559
"SM3685-23",13.0128641
"SM3685-26",8.33749198333333
"SM3686-42",8.18220845
"SM3686-48",11.3892329666667
"SM3686-56",10.2374129666667
"SM3691-73",7.26720025
"SM3691-74",7.6563091
"SM3692-15",9.8636437625
"SM3692-17",7.5600102
"SM3692-18",10.80760416
"SM3692-23",9.01897206
"SM3692-32",8.1179762
"SM3692-43",7.995624525
"SM3692-51",7.13972235
"SM3692-55",9.5326530375
"SM3692-60",10.618433925
"SM3692-76",10.61985685
"SM3694-19",8.9125874
"SM3694-44",7.4373473
"SM3694-54",10.6975236
"SM3695-82",9.94218921666667
"SM3756-7",10.13741707
"SM3757-45",8.715255825
"SM3757-75",11.96812675
"SM3757-81",9.76176245
"SM3758-25",8.107329375
"SM3758-47",10.554148175
"SM3759-36",7.1953626
"SM3761-103",11.2270917833333
"SM3761-110",9.28796686666667
"SM3761-117",7.83838395
"SM3761-125",10.7775146
"SM3761-133",8.770714875
"SM3761-20",8.68922875
"SM3761-28",9.4379344
"SM3761-29",9.29214045
"SM3761-58",11.1478529
"SM3761-61",10.30760835
"SM3761-67",9.53552435
"SM3761-68",9.084983825
"SM3762-15",10.0084684
"SM3762-22",8.8811226
"SM3762-6",8.626625875
"SM3764-13",8.66112208
"SM3764-4",8.3718152
"SM3766-17",7.46651685
"SM3767-10",14.23368145
"SM3767-19",13.5598879
"SM3767-66",11.4475136
"SM3767-7",9.319180625
"SM3767-76",16.3223591
"SM3767-84",11.6283366
"SM3770-12",17.6581402
"SM3770-54",11.328642125
"SM3770-67",14.8382845
"SM3773-51",14.4463844
"SM3774-21",10.2724514
"SM3774-55",13.5419788
"SM3774-67",8.63210095
"SM3782-19",10.950727
"SM3878-111",10.44659264
"SM3878-42",10.8678312166667
"SM3879-104",8.76130156
"SM3879-29",12.8649821333333
"SM3879-75",12.26190124
"SM3879-93",9.99982586
"SM3881-146",10.9965529666667
"SM3881-156",11.6648295666667
"SM3882-18",9.8030106375
"SM3882-19",11.4515458375
"SM3882-30",11.65695152
"SM3882-48",8.76037563
"SM3882-59",11.696735625
"SM3882-76",8.89481678
"SM3882-86",13.5107019
"SM3882-9",10.3465922833333
"SM3883-96",9.9870139875
"SM3885-12",8.9249003
"SM3885-50",9.69812187
"SM3885-63",8.84549454166667
"SM3887-29",9.7156109125
"SM3887-42",13.219236725
"SM3887-52",10.2760258333333
"SM3887-59",11.5088950833333
"SM3887-74",11.1578265833333
"SM3888-4",9.04107425
"SM3889-39",11.26351747
"SM3889-87",9.96583525
"SM3890-9",8.951596775
"SM3892-36",12.172190975
"SM3892-47",13.06178125
"SM3893-10",12.12954575
"SM3893-2",9.46358649
"SM3893-31",9.18082575
"SM3893-59",12.127148475
"SM3893-94",11.70006705
"SM3894-28",10.9206029
"SM3895-87",9.31324608333333
"SM3896-69",10.4748826
"SM3939-141",10.56492025
"SM3940-187",10.4617436
"SM3943-80",11.2192318375
"SM3945-2",11.70779435
"SM3951-1",10.978260525
"SM3953-4",9.64987833333333
"SM3954-140",9.51276976666667
"SM3956-12",11.06419275
"SM3958-114",13.82625435
"SM3958-13",9.02358435
"SM3958-132",10.10880185
"SM3958-43",13.1705189
"SM3958-50",11.07203535
"SM3960-71",16.4531741
"SM4285-32",13.934749125
"SM4286-10",8.8227439
"SM4286-218",9.609627125
"SM4286-7",7.55198835
"SM4287-179",8.7158508
"SM4287-2",6.50848445
"SM4289-111",11.952283375
"SM4289-113",NA
"SM4289-129",10.76072455
"SM4289-133",9.7783458
"SM4289-140",6.727113975
"SM4289-156",12.1328239
"SM4289-179",8.477364775
"SM4289-21",9.1160928
"SM4289-41",9.53046795
"SM4289-418",11.088705075
"SM4289-438",12.83436825
"SM4290-100",13.12114045
"SM4290-27",7.6455164
"SM4290-5",9.76272965
"SM4290-58",6.55796505
"SM4290-72",12.773298275
"SM4291-30",11.2091131
"SM4291-85",11.3793321
"SM4292-11",6.31604935
"SM4299-6",10.55730055
"SM4317-52",7.23512365
"SM4319-12",9.99147365
"SM4319-18",13.3180361
"SM4320-56",9.55893805
"SM4328-12",NA
"SM4330-1",8.8409104
"SM4352-14",12.1416855
"SM4354-18",10.99650715
"SM4354-23",13.423901075
"SM4355-12",12.6448412
"SM4357-2",11.6501627
"SM4368-30",13.35195825
"SM4371-25",9.2442074
"SM4376-3",10.12312865
"SM4388-2",14.2583518
"SM4392-3",10.7606759
"SM4393-18",14.863801
"SM4393-20",11.59721945
"SM4402-6",13.27335405
"SM4402-7",11.3017201
"SM4404-4",11.54195025
"SM4404-5",10.9601445
"SM4408-2",9.2576356
"SM4409-11",9.3520298
"SM4409-9",9.3441267
"SM4410-1",16.3337374
"SM4410-35",14.7194109
"SM4410-40",11.77161405
"SM4410-43",14.5120139
"SM4416-3",15.69055035
"SM4421-22",14.577601225
"SM4421-37",15.24719475
"SM4423-1",13.672621225
"SM4433-12",14.44358825
"SM4436-1",9.5851374
"SM4450-1",12.4089446
"SM4463-2",10.95498515
"SM4471-21",9.003150925
"SM4471-25",9.719766125
"SM4471-38",12.170403475
"SM4471-44",10.65373705
"SM4471-6",11.43298435
"SM4471-64",11.72786235
"SM4472-21",11.4894271
"SM4472-3",8.612305175
"SM4479-41",12.0869088
"SM4480-33",14.181108925
"SM4483-1",11.4781759666667
"SM4483-10",12.96979905
"SM4483-15",10.53075505
"SM4483-2",13.427418
"SM4483-3",12.6709962
"SM4483-4",12.3067865
"SM4483-6",11.0197735
"SM4483-7",11.2743501666667
"SM4483-9",11.431818
"SM4484-10",12.2991481
"SM4484-18",13.0100551
"SM4487-7",11.92321325
"SM4489-25",9.5100391
"SM4491-2",13.39764975
"SM4501-5",8.99021675
"SM4501-9",9.6085577
"SM4503-13",9.808719975
"SM4507-9",11.632460375
"SM4509-1",12.6853557
"SM4511-1",12.322433
"SM4515-5",16.86053375
"SM4565-1",14.1822143
"SM4566-11",13.8560996
"SM4566-13",11.4024763
"SM4567-4",11.74130675
"SM4568-5",12.09174155
"SM4569-1",10.2246299
"SM4569-16",11.69227315
"SM4569-17",10.383307
"SM4569-2",11.37294575
"SM4571-7",9.9976387
"SM4573-1",8.9580431
"SM4573-18",13.98202325
"SM4573-2",11.0384531
"SM4573-21",8.8066182
"SM4573-25",10.0148344
"SM4573-27",12.58227775
"SM4573-30",9.70897485
"SM4573-37",10.9727116
"SM4573-38",10.88691235
"SM4573-41",11.2538705
"SM4573-44",8.34828045
"SM4573-7",11.01466035
"SM4574-15",10.2329135
"SM4574-30",12.40218925
"SM4574-37",10.77949715
"SM4574-4",12.92169905
"SM4574-40",13.81382605
"SM4574-43",14.83096405
"SM4574-45",13.7424183
"SM4574-46",9.75954775
"SM4574-51",9.70331335
"SM4574-56",12.15393975
"SM4574-58",12.6029296
"SM4574-6",9.14043045
"SM4575-10",8.5588336
"SM4575-23",11.3661647
"SM4575-59",11.71574065
"SM4576-1",9.8707728
"SM4576-16",11.79019785
"SM4576-22",13.35272695
"SM4576-25",11.2245407
"SM4576-50",8.32604025
"SM4576-58",13.9484439
"SM4576-6",10.75711205
"SM4576-66",13.7549968
"SM4577-6",13.96379565
"TAI8",NA
"Venezolana",NA
"YT1-4",7.327629575
