"Experiment","rep_number","accession_name","yield_ha","year","location"
"201467BCEPR_mala",1,"GM3551-46",6.625,"2014","Malambo"
"201467BCEPR_mala",1,"GM3563-18",0.625,"2014","Malambo"
"201467BCEPR_mala",1,"GM3587-41",14,"2014","Malambo"
"201467BCEPR_mala",1,"GM3587-51",0.875,"2014","Malambo"
"201467BCEPR_mala",1,"GM3609-108",7.25,"2014","Malambo"
"201467BCEPR_mala",1,"GM3609-122",3,"2014","Malambo"
"201467BCEPR_mala",1,"GM3621-18",1.5,"2014","Malambo"
"201467BCEPR_mala",1,"GM3647-23",1.5,"2014","Malambo"
"201467BCEPR_mala",1,"GM3649-109",6.25,"2014","Malambo"
"201467BCEPR_mala",1,"GM3649-68",23.375,"2014","Malambo"
"201467BCEPR_mala",1,"GM3650-41",1.75,"2014","Malambo"
"201467BCEPR_mala",1,"GM3650-46",6.25,"2014","Malambo"
"201467BCEPR_mala",1,"GM3650-51",16.25,"2014","Malambo"
"201467BCEPR_mala",1,"GM3652-21",10.5,"2014","Malambo"
"201467BCEPR_mala",1,"GM3658-75",1,"2014","Malambo"
"201467BCEPR_mala",1,"GM3666-77",2.5,"2014","Malambo"
"201467BCEPR_mala",1,"GM3667-49",15.375,"2014","Malambo"
"201467BCEPR_mala",1,"GM3667-55",0.75,"2014","Malambo"
"201467BCEPR_mala",1,"GM3667-64",4.625,"2014","Malambo"
"201467BCEPR_mala",1,"GM3667-85",2,"2014","Malambo"
"201467BCEPR_mala",1,"GM3675-49",7.625,"2014","Malambo"
"201467BCEPR_mala",1,"GM3675-52",0.5,"2014","Malambo"
"201467BCEPR_mala",1,"GM3699-111",2.125,"2014","Malambo"
"201467BCEPR_mala",1,"SM3615-42",4.25,"2014","Malambo"
"201467BCEPR_mala",1,"SM3622-18",7.25,"2014","Malambo"
"201467BCEPR_mala",1,"SM3623-31",9.375,"2014","Malambo"
"201467BCEPR_mala",1,"SM3623-7",3.5,"2014","Malambo"
"201467BCEPR_mala",1,"TAI8",11.375,"2014","Malambo"
"201467BCEPR_mala",1,"YT1-4",0.875,"2014","Malambo"
"201467BCEPR_mala",2,"AM1216-3",4.375,"2014","Malambo"
"201467BCEPR_mala",2,"AM1228-2",0.5,"2014","Malambo"
"201467BCEPR_mala",2,"CG1141-1",10.625,"2014","Malambo"
"201467BCEPR_mala",2,"CM4919-1",0.625,"2014","Malambo"
"201467BCEPR_mala",2,"GM3523-70",2.25,"2014","Malambo"
"201467BCEPR_mala",2,"GM3523-72",5.25,"2014","Malambo"
"201467BCEPR_mala",2,"GM3551-46",20.625,"2014","Malambo"
"201467BCEPR_mala",2,"GM3563-18",3.75,"2014","Malambo"
"201467BCEPR_mala",2,"GM3587-41",0.75,"2014","Malambo"
"201467BCEPR_mala",2,"GM3587-51",6.25,"2014","Malambo"
"201467BCEPR_mala",2,"GM3593-70",1.5,"2014","Malambo"
"201467BCEPR_mala",2,"GM3609-108",7.25,"2014","Malambo"
"201467BCEPR_mala",2,"GM3609-113",9.875,"2014","Malambo"
"201467BCEPR_mala",2,"GM3609-122",1.875,"2014","Malambo"
"201467BCEPR_mala",2,"GM3621-18",2.375,"2014","Malambo"
"201467BCEPR_mala",2,"GM3623-27",0.5,"2014","Malambo"
"201467BCEPR_mala",2,"GM3628-33",0.375,"2014","Malambo"
"201467BCEPR_mala",2,"GM3647-23",4.625,"2014","Malambo"
"201467BCEPR_mala",2,"GM3649-109",7.25,"2014","Malambo"
"201467BCEPR_mala",2,"GM3649-68",17.875,"2014","Malambo"
"201467BCEPR_mala",2,"GM3650-41",9.375,"2014","Malambo"
"201467BCEPR_mala",2,"GM3650-42",0.625,"2014","Malambo"
"201467BCEPR_mala",2,"GM3650-46",8,"2014","Malambo"
"201467BCEPR_mala",2,"GM3650-49",2.25,"2014","Malambo"
"201467BCEPR_mala",2,"GM3650-51",4.75,"2014","Malambo"
"201467BCEPR_mala",2,"GM3650-57",1.875,"2014","Malambo"
"201467BCEPR_mala",2,"GM3652-21",12.75,"2014","Malambo"
"201467BCEPR_mala",2,"GM3658-73",9.375,"2014","Malambo"
"201467BCEPR_mala",2,"GM3658-75",4.75,"2014","Malambo"
"201467BCEPR_mala",2,"GM3658-81",3.625,"2014","Malambo"
"201467BCEPR_mala",2,"GM3666-77",13.125,"2014","Malambo"
"201467BCEPR_mala",2,"GM3667-49",4,"2014","Malambo"
"201467BCEPR_mala",2,"GM3667-55",4.75,"2014","Malambo"
"201467BCEPR_mala",2,"GM3667-64",1.75,"2014","Malambo"
"201467BCEPR_mala",2,"GM3667-85",19,"2014","Malambo"
"201467BCEPR_mala",2,"GM3675-49",2.375,"2014","Malambo"
"201467BCEPR_mala",2,"GM3675-52",1.5,"2014","Malambo"
"201467BCEPR_mala",2,"GM3699-111",4.125,"2014","Malambo"
"201467BCEPR_mala",2,"GM3700-14",2.25,"2014","Malambo"
"201467BCEPR_mala",2,"SM3615-1",15.125,"2014","Malambo"
"201467BCEPR_mala",2,"SM3615-16",1.5,"2014","Malambo"
"201467BCEPR_mala",2,"SM3615-19",7,"2014","Malambo"
"201467BCEPR_mala",2,"SM3615-42",5.375,"2014","Malambo"
"201467BCEPR_mala",2,"SM3616-17",0.5,"2014","Malambo"
"201467BCEPR_mala",2,"SM3618-1",9.5,"2014","Malambo"
"201467BCEPR_mala",2,"SM3622-18",3.75,"2014","Malambo"
"201467BCEPR_mala",2,"SM3622-23",3,"2014","Malambo"
"201467BCEPR_mala",2,"SM3623-31",4.625,"2014","Malambo"
"201467BCEPR_mala",2,"SM3623-7",4.375,"2014","Malambo"
"201467BCEPR_mala",2,"SMB2446-2",16.875,"2014","Malambo"
"201467BCEPR_mala",2,"TAI8",,"2014","Malambo"
"201467BCEPR_mala",2,"TAI8",,"2014","Malambo"
"201467BCEPR_mala",2,"TAI8",22.125,"2014","Malambo"
"201467BCEPR_mala",2,"TAI8",22.125,"2014","Malambo"
"201467BCEPR_mala",2,"YT1-4",0.875,"2014","Malambo"
"201468BCEPR_mala",1,"CG1141-1",9,"2014","Malambo"
"201468BCEPR_mala",1,"CM4919-1",15.75,"2014","Malambo"
"201468BCEPR_mala",1,"GM4264-2",16.875,"2014","Malambo"
"201468BCEPR_mala",1,"GM4276-1",11.125,"2014","Malambo"
"201468BCEPR_mala",1,"GM4279-4",3.875,"2014","Malambo"
"201468BCEPR_mala",1,"GM4288-5",8.25,"2014","Malambo"
"201468BCEPR_mala",1,"GM4292-1",1.125,"2014","Malambo"
"201468BCEPR_mala",1,"GM4300-1",22.25,"2014","Malambo"
"201468BCEPR_mala",1,"GM4310-2",8.75,"2014","Malambo"
"201468BCEPR_mala",1,"GM4310-4",5.375,"2014","Malambo"
"201468BCEPR_mala",1,"GM4310-5",1.875,"2014","Malambo"
"201468BCEPR_mala",1,"GM4310-9",20.625,"2014","Malambo"
"201468BCEPR_mala",1,"GM4313-3",9,"2014","Malambo"
"201468BCEPR_mala",1,"GM4316-1",2,"2014","Malambo"
"201468BCEPR_mala",1,"GM4327-10",5.375,"2014","Malambo"
"201468BCEPR_mala",1,"GM4328-15",5.5,"2014","Malambo"
"201468BCEPR_mala",1,"GM4328-4",4.375,"2014","Malambo"
"201468BCEPR_mala",1,"GM4329-2",8,"2014","Malambo"
"201468BCEPR_mala",1,"GM4330-2",2,"2014","Malambo"
"201468BCEPR_mala",1,"GM4330-4",11,"2014","Malambo"
"201468BCEPR_mala",1,"GM4334-1",12.375,"2014","Malambo"
"201468BCEPR_mala",1,"GM4341-3",15.5,"2014","Malambo"
"201468BCEPR_mala",1,"GM4345-5",2.25,"2014","Malambo"
"201468BCEPR_mala",1,"GM4347-1",1.125,"2014","Malambo"
"201468BCEPR_mala",1,"GM4358-4",4.5,"2014","Malambo"
"201468BCEPR_mala",1,"SM3673-29",13.25,"2014","Malambo"
"201468BCEPR_mala",1,"SM3674-1",2.75,"2014","Malambo"
"201468BCEPR_mala",1,"SM3677-47",18.125,"2014","Malambo"
"201468BCEPR_mala",1,"SM3677-72",11.375,"2014","Malambo"
"201468BCEPR_mala",1,"SM3677-74",11.625,"2014","Malambo"
"201468BCEPR_mala",1,"SM3679-13",4.125,"2014","Malambo"
"201468BCEPR_mala",1,"SM3679-21",3,"2014","Malambo"
"201468BCEPR_mala",1,"SM3679-5",7,"2014","Malambo"
"201468BCEPR_mala",1,"SM3679-8",14.875,"2014","Malambo"
"201468BCEPR_mala",1,"SM3680-4",3.5,"2014","Malambo"
"201468BCEPR_mala",1,"SM3682-12",14.25,"2014","Malambo"
"201468BCEPR_mala",1,"SM3682-4",7,"2014","Malambo"
"201468BCEPR_mala",1,"SM3682-45",1.625,"2014","Malambo"
"201468BCEPR_mala",1,"SM3682-57",7.75,"2014","Malambo"
"201468BCEPR_mala",1,"SM3682-6",1.375,"2014","Malambo"
"201468BCEPR_mala",1,"SM3682-72",1.625,"2014","Malambo"
"201468BCEPR_mala",1,"SM3682-8",4.125,"2014","Malambo"
"201468BCEPR_mala",1,"SM3684-14",8.5,"2014","Malambo"
"201468BCEPR_mala",1,"SM3684-2",6.375,"2014","Malambo"
"201468BCEPR_mala",1,"SM3684-27",2.75,"2014","Malambo"
"201468BCEPR_mala",1,"SM3684-7",5,"2014","Malambo"
"201468BCEPR_mala",1,"SM3685-11",7.5,"2014","Malambo"
"201468BCEPR_mala",1,"SM3685-13",11.75,"2014","Malambo"
"201468BCEPR_mala",1,"SM3685-26",2.875,"2014","Malambo"
"201468BCEPR_mala",1,"SMB2446-2",4.25,"2014","Malambo"
"201468BCEPR_mala",1,"TAI8",18,"2014","Malambo"
"201468BCEPR_mala",2,"CG1141-1",11.625,"2014","Malambo"
"201468BCEPR_mala",2,"CM4919-1",4.25,"2014","Malambo"
"201468BCEPR_mala",2,"GM4264-2",10.875,"2014","Malambo"
"201468BCEPR_mala",2,"GM4276-1",3.875,"2014","Malambo"
"201468BCEPR_mala",2,"GM4279-4",2.875,"2014","Malambo"
"201468BCEPR_mala",2,"GM4292-1",11.125,"2014","Malambo"
"201468BCEPR_mala",2,"GM4300-1",9.375,"2014","Malambo"
"201468BCEPR_mala",2,"GM4310-2",3.75,"2014","Malambo"
"201468BCEPR_mala",2,"GM4310-4",9.5,"2014","Malambo"
"201468BCEPR_mala",2,"GM4310-5",4.125,"2014","Malambo"
"201468BCEPR_mala",2,"GM4310-9",7.25,"2014","Malambo"
"201468BCEPR_mala",2,"GM4313-3",2.25,"2014","Malambo"
"201468BCEPR_mala",2,"GM4316-1",0.875,"2014","Malambo"
"201468BCEPR_mala",2,"GM4327-10",4.875,"2014","Malambo"
"201468BCEPR_mala",2,"GM4328-15",1.625,"2014","Malambo"
"201468BCEPR_mala",2,"GM4328-4",9.125,"2014","Malambo"
"201468BCEPR_mala",2,"GM4329-2",3.5,"2014","Malambo"
"201468BCEPR_mala",2,"GM4329-4",0.5,"2014","Malambo"
"201468BCEPR_mala",2,"GM4330-2",2.5,"2014","Malambo"
"201468BCEPR_mala",2,"GM4330-4",5.25,"2014","Malambo"
"201468BCEPR_mala",2,"GM4334-1",14.5,"2014","Malambo"
"201468BCEPR_mala",2,"GM4341-3",11.75,"2014","Malambo"
"201468BCEPR_mala",2,"GM4347-1",1,"2014","Malambo"
"201468BCEPR_mala",2,"GM4358-4",3.25,"2014","Malambo"
"201468BCEPR_mala",2,"SM3673-29",9.875,"2014","Malambo"
"201468BCEPR_mala",2,"SM3674-1",2.25,"2014","Malambo"
"201468BCEPR_mala",2,"SM3677-47",9,"2014","Malambo"
"201468BCEPR_mala",2,"SM3677-72",2.625,"2014","Malambo"
"201468BCEPR_mala",2,"SM3677-74",1.125,"2014","Malambo"
"201468BCEPR_mala",2,"SM3679-13",12.875,"2014","Malambo"
"201468BCEPR_mala",2,"SM3679-21",3,"2014","Malambo"
"201468BCEPR_mala",2,"SM3679-5",6.5,"2014","Malambo"
"201468BCEPR_mala",2,"SM3679-8",11.5,"2014","Malambo"
"201468BCEPR_mala",2,"SM3680-4",2.25,"2014","Malambo"
"201468BCEPR_mala",2,"SM3682-12",12.125,"2014","Malambo"
"201468BCEPR_mala",2,"SM3682-4",7.5,"2014","Malambo"
"201468BCEPR_mala",2,"SM3682-45",3.625,"2014","Malambo"
"201468BCEPR_mala",2,"SM3682-57",11,"2014","Malambo"
"201468BCEPR_mala",2,"SM3682-6",0.375,"2014","Malambo"
"201468BCEPR_mala",2,"SM3682-8",11.125,"2014","Malambo"
"201468BCEPR_mala",2,"SM3684-14",1.375,"2014","Malambo"
"201468BCEPR_mala",2,"SM3684-2",13.75,"2014","Malambo"
"201468BCEPR_mala",2,"SM3684-27",14.375,"2014","Malambo"
"201468BCEPR_mala",2,"SM3684-7",7.125,"2014","Malambo"
"201468BCEPR_mala",2,"SM3685-13",14,"2014","Malambo"
"201468BCEPR_mala",2,"SM3685-20",2.25,"2014","Malambo"
"201468BCEPR_mala",2,"SM3685-26",4.25,"2014","Malambo"
"201468BCEPR_mala",2,"SMB2446-2",2.375,"2014","Malambo"
"201468BCEPR_mala",2,"TAI8",4.75,"2014","Malambo"
"201545BCPRC_mala",1,"CG1141-1",22.70833333,"2015","Malambo"
"201545BCPRC_mala",1,"CM4919-1",20.20833333,"2015","Malambo"
"201545BCPRC_mala",1,"GM3523-70",3.541666667,"2015","Malambo"
"201545BCPRC_mala",1,"GM3587-41",2.083333333,"2015","Malambo"
"201545BCPRC_mala",1,"GM3587-51",2.5,"2015","Malambo"
"201545BCPRC_mala",1,"GM3621-18",19.375,"2015","Malambo"
"201545BCPRC_mala",1,"GM3649-68",8.125,"2015","Malambo"
"201545BCPRC_mala",1,"GM3650-41",21.66666667,"2015","Malambo"
"201545BCPRC_mala",1,"GM3650-49",2.5,"2015","Malambo"
"201545BCPRC_mala",1,"GM3650-51",13.33333333,"2015","Malambo"
"201545BCPRC_mala",1,"GM3652-21",6.666666667,"2015","Malambo"
"201545BCPRC_mala",1,"GM3658-81",2.5,"2015","Malambo"
"201545BCPRC_mala",1,"GM3666-77",10.83333333,"2015","Malambo"
"201545BCPRC_mala",1,"GM3667-49",10.41666667,"2015","Malambo"
"201545BCPRC_mala",1,"GM3675-52",4.583333333,"2015","Malambo"
"201545BCPRC_mala",1,"GM3700-14",6.25,"2015","Malambo"
"201545BCPRC_mala",1,"GM4310-4",5,"2015","Malambo"
"201545BCPRC_mala",1,"GM4310-5",6.666666667,"2015","Malambo"
"201545BCPRC_mala",1,"SM3618-1",15.41666667,"2015","Malambo"
"201545BCPRC_mala",1,"SM3673-29",11.25,"2015","Malambo"
"201545BCPRC_mala",1,"SM3677-47",3.125,"2015","Malambo"
"201545BCPRC_mala",1,"SM3677-72",7.083333333,"2015","Malambo"
"201545BCPRC_mala",1,"SM3677-74",12.5,"2015","Malambo"
"201545BCPRC_mala",1,"SM3682-45",3.333333333,"2015","Malambo"
"201545BCPRC_mala",1,"SM3682-57",5.416666667,"2015","Malambo"
"201545BCPRC_mala",1,"SM3684-7",7.083333333,"2015","Malambo"
"201545BCPRC_mala",1,"SMB2446-2",12.08333333,"2015","Malambo"
"201545BCPRC_mala",1,"TAI8",22.29166667,"2015","Malambo"
"201545BCPRC_mala",2,"CG1141-1",37.29166667,"2015","Malambo"
"201545BCPRC_mala",2,"CM4919-1",22.08333333,"2015","Malambo"
"201545BCPRC_mala",2,"GM3523-70",5,"2015","Malambo"
"201545BCPRC_mala",2,"GM3587-41",1.458333333,"2015","Malambo"
"201545BCPRC_mala",2,"GM3587-51",7.708333333,"2015","Malambo"
"201545BCPRC_mala",2,"GM3621-18",9.791666667,"2015","Malambo"
"201545BCPRC_mala",2,"GM3649-68",7.5,"2015","Malambo"
"201545BCPRC_mala",2,"GM3650-41",5.416666667,"2015","Malambo"
"201545BCPRC_mala",2,"GM3650-49",1.041666667,"2015","Malambo"
"201545BCPRC_mala",2,"GM3650-51",8.541666667,"2015","Malambo"
"201545BCPRC_mala",2,"GM3652-21",15.41666667,"2015","Malambo"
"201545BCPRC_mala",2,"GM3658-77",13.125,"2015","Malambo"
"201545BCPRC_mala",2,"GM3658-81",5.208333333,"2015","Malambo"
"201545BCPRC_mala",2,"GM3666-77",11.25,"2015","Malambo"
"201545BCPRC_mala",2,"GM3667-49",7.5,"2015","Malambo"
"201545BCPRC_mala",2,"GM3675-52",1.458333333,"2015","Malambo"
"201545BCPRC_mala",2,"GM3700-14",3.75,"2015","Malambo"
"201545BCPRC_mala",2,"GM4310-4",11.04166667,"2015","Malambo"
"201545BCPRC_mala",2,"GM4310-5",6.25,"2015","Malambo"
"201545BCPRC_mala",2,"SM3615-16",2.916666667,"2015","Malambo"
"201545BCPRC_mala",2,"SM3618-1",31.45833333,"2015","Malambo"
"201545BCPRC_mala",2,"SM3673-29",4.791666667,"2015","Malambo"
"201545BCPRC_mala",2,"SM3677-47",3.958333333,"2015","Malambo"
"201545BCPRC_mala",2,"SM3677-72",10,"2015","Malambo"
"201545BCPRC_mala",2,"SM3677-74",8.75,"2015","Malambo"
"201545BCPRC_mala",2,"SM3682-45",5.833333333,"2015","Malambo"
"201545BCPRC_mala",2,"SM3684-7",15,"2015","Malambo"
"201545BCPRC_mala",2,"SMB2446-2",24.58333333,"2015","Malambo"
"201545BCPRC_mala",2,"TAI8",31.66666667,"2015","Malambo"
"201546BCPRC_mala",1,"AM900-14",4.583333333,"2015","Malambo"
"201546BCPRC_mala",1,"AM907-57",10.20833333,"2015","Malambo"
"201546BCPRC_mala",1,"CG1141-1",19.58333333,"2015","Malambo"
"201546BCPRC_mala",1,"CM4919-1",21.04166667,"2015","Malambo"
"201546BCPRC_mala",1,"GM3426-5",2.5,"2015","Malambo"
"201546BCPRC_mala",1,"GM3518-32",16.04166667,"2015","Malambo"
