"Experiment","rep_number","accession_name","yield_ha","year","plot_name","location"
"201326BCEAR_pvar","3","GM3518-5",5.972222222,"2013","201326BCEAR_pvar_rep3_GM3518-5_94","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3523-25",1.805555556,"2013","201326BCEAR_pvar_rep3_GM3523-25_89","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3530-14",11.94444444,"2013","201326BCEAR_pvar_rep3_GM3530-14_79","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3533-6",6.25,"2013","201326BCEAR_pvar_rep3_GM3533-6_88","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3560-34",3.888888889,"2013","201326BCEAR_pvar_rep3_GM3560-34_83","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3609-30",4.444444444,"2013","201326BCEAR_pvar_rep3_GM3609-30_93","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3609-98",1.666666667,"2013","201326BCEAR_pvar_rep3_GM3609-98_81","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3628-1",5.555555556,"2013","201326BCEAR_pvar_rep3_GM3628-1_85","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3633-5",5,"2013","201326BCEAR_pvar_rep3_GM3633-5_86","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3647-16",4.583333333,"2013","201326BCEAR_pvar_rep3_GM3647-16_98","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3650-15",3.75,"2013","201326BCEAR_pvar_rep3_GM3650-15_100","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3650-19",4.861111111,"2013","201326BCEAR_pvar_rep3_GM3650-19_102","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3674-35",2.222222222,"2013","201326BCEAR_pvar_rep3_GM3674-35_97","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3675-20",3.75,"2013","201326BCEAR_pvar_rep3_GM3675-20_71","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3675-38",1.666666667,"2013","201326BCEAR_pvar_rep3_GM3675-38_96","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3676-1",2.777777778,"2013","201326BCEAR_pvar_rep3_GM3676-1_87","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3693-2",6.527777778,"2013","201326BCEAR_pvar_rep3_GM3693-2_74","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3695-9",2.777777778,"2013","201326BCEAR_pvar_rep3_GM3695-9_69","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3697-7",5.833333333,"2013","201326BCEAR_pvar_rep3_GM3697-7_76","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3698-1",2.777777778,"2013","201326BCEAR_pvar_rep3_GM3698-1_80","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","SM3441-150",1.666666667,"2013","201326BCEAR_pvar_rep3_SM3441-150_77","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","SM3442-217",3.75,"2013","201326BCEAR_pvar_rep3_SM3442-217_95","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","SM3511-6",5.138888889,"2013","201326BCEAR_pvar_rep3_SM3511-6_101","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","SM3536-44",7.777777778,"2013","201326BCEAR_pvar_rep3_SM3536-44_75","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","SMB2446-2",4.305555556,"2013","201326BCEAR_pvar_rep3_SMB2446-2_72","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","TAI8",18.75,"2013","201326BCEAR_pvar_rep3_TAI8_90","Palmar de Varela. Atlantico, Colombia"
"201467BCEPR_mala","1","CG1141-1",8.75,"2014","201467BCEPR_mala_rep1_CG1141-1_53","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3523-70",7.125,"2014","201467BCEPR_mala_rep1_GM3523-70_16","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3523-72",9.25,"2014","201467BCEPR_mala_rep1_GM3523-72_13","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3551-46",6.625,"2014","201467BCEPR_mala_rep1_GM3551-46_24","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3563-18",0.625,"2014","201467BCEPR_mala_rep1_GM3563-18_45","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3587-41",14,"2014","201467BCEPR_mala_rep1_GM3587-41_12","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3587-51",0.875,"2014","201467BCEPR_mala_rep1_GM3587-51_3","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3609-108",7.25,"2014","201467BCEPR_mala_rep1_GM3609-108_34","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3609-122",3,"2014","201467BCEPR_mala_rep1_GM3609-122_29","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3621-18",1.5,"2014","201467BCEPR_mala_rep1_GM3621-18_21","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3647-23",1.5,"2014","201467BCEPR_mala_rep1_GM3647-23_42","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3649-109",6.25,"2014","201467BCEPR_mala_rep1_GM3649-109_22","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3649-68",23.375,"2014","201467BCEPR_mala_rep1_GM3649-68_39","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3650-41",1.75,"2014","201467BCEPR_mala_rep1_GM3650-41_51","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3650-46",6.25,"2014","201467BCEPR_mala_rep1_GM3650-46_11","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3650-51",16.25,"2014","201467BCEPR_mala_rep1_GM3650-51_14","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3652-21",10.5,"2014","201467BCEPR_mala_rep1_GM3652-21_40","Malambo. Atlantico, Colombia"
