"Experiment","rep_number","accession_name","DM_gravity","year","plot_name","location"
"201467BCEPR_mala","1","GM3649-68",25.57063274,"2014","201467BCEPR_mala_rep1_GM3649-68_39","Malambo"
"201467BCEPR_mala","1","GM3650-41",16.79832714,"2014","201467BCEPR_mala_rep1_GM3650-41_51","Malambo"
"201467BCEPR_mala","1","GM3650-46",20.25514358,"2014","201467BCEPR_mala_rep1_GM3650-46_11","Malambo"
"201467BCEPR_mala","1","GM3650-51",24.24772329,"2014","201467BCEPR_mala_rep1_GM3650-51_14","Malambo"
"201467BCEPR_mala","1","GM3652-21",20.53323605,"2014","201467BCEPR_mala_rep1_GM3652-21_40","Malambo"
"201467BCEPR_mala","1","GM3658-75",16.21,"2014","201467BCEPR_mala_rep1_GM3658-75_52","Malambo"
"201467BCEPR_mala","1","GM3666-77",20.43459959,"2014","201467BCEPR_mala_rep1_GM3666-77_7","Malambo"
"201467BCEPR_mala","1","GM3667-49",17.80858586,"2014","201467BCEPR_mala_rep1_GM3667-49_20","Malambo"
"201467BCEPR_mala","1","GM3667-55",20.10163934,"2014","201467BCEPR_mala_rep1_GM3667-55_47","Malambo"
"201467BCEPR_mala","1","GM3667-64",17.9471115,"2014","201467BCEPR_mala_rep1_GM3667-64_35","Malambo"
"201467BCEPR_mala","1","GM3667-85",16.21,"2014","201467BCEPR_mala_rep1_GM3667-85_50","Malambo"
"201467BCEPR_mala","1","GM3675-49",20.16396541,"2014","201467BCEPR_mala_rep1_GM3675-49_36","Malambo"
"201467BCEPR_mala","1","GM3675-52",19.02888041,"2014","201467BCEPR_mala_rep1_GM3675-52_46","Malambo"
"201467BCEPR_mala","1","GM3699-111",23.01578947,"2014","201467BCEPR_mala_rep1_GM3699-111_25","Malambo"
"201467BCEPR_mala","1","SM3615-42",17.23766234,"2014","201467BCEPR_mala_rep1_SM3615-42_26","Malambo"
"201467BCEPR_mala","1","SM3622-18",19.61529015,"2014","201467BCEPR_mala_rep1_SM3622-18_1","Malambo"
"201467BCEPR_mala","1","SM3623-31",20.44338017,"2014","201467BCEPR_mala_rep1_SM3623-31_38","Malambo"
"201467BCEPR_mala","1","SM3623-7",16.47420701,"2014","201467BCEPR_mala_rep1_SM3623-7_27","Malambo"
"201467BCEPR_mala","1","TAI8",28.14307787,"2014","201467BCEPR_mala_rep1_TAI8_6","Malambo"
"201467BCEPR_mala","1","YT1-4",16.94381762,"2014","201467BCEPR_mala_rep1_YT1-4_23","Malambo"
"201467BCEPR_mala","2","AM1216-3",19.86343127,"2014","201467BCEPR_mala_rep2_AM1216-3_75","Malambo"
"201467BCEPR_mala","2","AM1228-2",19.43979592,"2014","201467BCEPR_mala_rep2_AM1228-2_64","Malambo"
"201467BCEPR_mala","2","CG1141-1",30.63421053,"2014","201467BCEPR_mala_rep2_CG1141-1_76","Malambo"
"201467BCEPR_mala","2","CM4919-1",27.51428571,"2014","201467BCEPR_mala_rep2_CM4919-1_59","Malambo"
"201467BCEPR_mala","2","GM3523-70",17.33507109,"2014","201467BCEPR_mala_rep2_GM3523-70_56","Malambo"
"201467BCEPR_mala","2","GM3523-72",20.86470588,"2014","201467BCEPR_mala_rep2_GM3523-72_103","Malambo"
"201467BCEPR_mala","2","GM3551-46",21.18112986,"2014","201467BCEPR_mala_rep2_GM3551-46_82","Malambo"
"201467BCEPR_mala","2","GM3563-18",18.04676913,"2014","201467BCEPR_mala_rep2_GM3563-18_61","Malambo"
"201467BCEPR_mala","2","GM3587-41",19.8528133,"2014","201467BCEPR_mala_rep2_GM3587-41_84","Malambo"
"201467BCEPR_mala","2","GM3587-51",23.3937414,"2014","201467BCEPR_mala_rep2_GM3587-51_90","Malambo"
"201467BCEPR_mala","2","GM3593-70",16.52715431,"2014","201467BCEPR_mala_rep2_GM3593-70_107","Malambo"
"201467BCEPR_mala","2","GM3609-108",22.34473017,"2014","201467BCEPR_mala_rep2_GM3609-108_69","Malambo"
"201467BCEPR_mala","2","GM3609-113",16.45119747,"2014","201467BCEPR_mala_rep2_GM3609-113_93","Malambo"
"201467BCEPR_mala","2","GM3609-122",20.76893004,"2014","201467BCEPR_mala_rep2_GM3609-122_60","Malambo"
"201467BCEPR_mala","2","GM3621-18",19.67554745,"2014","201467BCEPR_mala_rep2_GM3621-18_65","Malambo"
"201467BCEPR_mala","2","GM3623-27",17.11954023,"2014","201467BCEPR_mala_rep2_GM3623-27_83","Malambo"
"201467BCEPR_mala","2","GM3628-33",21.29174312,"2014","201467BCEPR_mala_rep2_GM3628-33_66","Malambo"
"201467BCEPR_mala","2","GM3647-23",17.27214765,"2014","201467BCEPR_mala_rep2_GM3647-23_80","Malambo"
"201467BCEPR_mala","2","GM3649-109",22.15419174,"2014","201467BCEPR_mala_rep2_GM3649-109_89","Malambo"
"201467BCEPR_mala","2","GM3649-68",26.42256365,"2014","201467BCEPR_mala_rep2_GM3649-68_91","Malambo"
"201467BCEPR_mala","2","GM3650-41",22.5092576,"2014","201467BCEPR_mala_rep2_GM3650-41_81","Malambo"
"201467BCEPR_mala","2","GM3650-42",19.9119883,"2014","201467BCEPR_mala_rep2_GM3650-42_105","Malambo"
"201467BCEPR_mala","2","GM3650-46",22.537474,"2014","201467BCEPR_mala_rep2_GM3650-46_104","Malambo"
"201467BCEPR_mala","2","GM3650-49",16.21,"2014","201467BCEPR_mala_rep2_GM3650-49_79","Malambo"
"201467BCEPR_mala","2","GM3650-51",25.77492376,"2014","201467BCEPR_mala_rep2_GM3650-51_68","Malambo"
"201467BCEPR_mala","2","GM3650-57",20.34365672,"2014","201467BCEPR_mala_rep2_GM3650-57_87","Malambo"
"201467BCEPR_mala","2","GM3652-21",24.53947368,"2014","201467BCEPR_mala_rep2_GM3652-21_67","Malambo"
"201467BCEPR_mala","2","GM3658-73",20.37353281,"2014","201467BCEPR_mala_rep2_GM3658-73_71","Malambo"
"201467BCEPR_mala","2","GM3658-75",17.78584637,"2014","201467BCEPR_mala_rep2_GM3658-75_98","Malambo"
"201467BCEPR_mala","2","GM3658-81",16.63723486,"2014","201467BCEPR_mala_rep2_GM3658-81_88","Malambo"
"201467BCEPR_mala","2","GM3666-77",24.9134119,"2014","201467BCEPR_mala_rep2_GM3666-77_70","Malambo"
"201467BCEPR_mala","2","GM3667-49",19.12652764,"2014","201467BCEPR_mala_rep2_GM3667-49_86","Malambo"
"201467BCEPR_mala","2","GM3667-55",21.10463918,"2014","201467BCEPR_mala_rep2_GM3667-55_99","Malambo"
"201467BCEPR_mala","2","GM3667-64",20.07,"2014","201467BCEPR_mala_rep2_GM3667-64_85","Malambo"
"201467BCEPR_mala","2","GM3667-85",16.59073777,"2014","201467BCEPR_mala_rep2_GM3667-85_77","Malambo"
"201467BCEPR_mala","2","GM3675-49",24.02530864,"2014","201467BCEPR_mala_rep2_GM3675-49_57","Malambo"
"201467BCEPR_mala","2","GM3675-52",18.78333333,"2014","201467BCEPR_mala_rep2_GM3675-52_62","Malambo"
"201467BCEPR_mala","2","GM3699-111",24.82278912,"2014","201467BCEPR_mala_rep2_GM3699-111_96","Malambo"
"201467BCEPR_mala","2","GM3700-14",16.90679692,"2014","201467BCEPR_mala_rep2_GM3700-14_55","Malambo"
"201467BCEPR_mala","2","SM3615-1",24.59860388,"2014","201467BCEPR_mala_rep2_SM3615-1_73","Malambo"
"201467BCEPR_mala","2","SM3615-16",16.825,"2014","201467BCEPR_mala_rep2_SM3615-16_100","Malambo"
"201467BCEPR_mala","2","SM3615-19",21.19813754,"2014","201467BCEPR_mala_rep2_SM3615-19_106","Malambo"
"201467BCEPR_mala","2","SM3615-42",16.9824433,"2014","201467BCEPR_mala_rep2_SM3615-42_95","Malambo"
"201467BCEPR_mala","2","SM3616-17",16.21,"2014","201467BCEPR_mala_rep2_SM3616-17_101","Malambo"
"201467BCEPR_mala","2","SM3618-1",23.12058541,"2014","201467BCEPR_mala_rep2_SM3618-1_102","Malambo"
"201467BCEPR_mala","2","SM3622-18",20.88067948,"2014","201467BCEPR_mala_rep2_SM3622-18_78","Malambo"
"201467BCEPR_mala","2","SM3622-23",22.42344111,"2014","201467BCEPR_mala_rep2_SM3622-23_94","Malambo"
